Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Oak Treant,3,Bruiser,A sturdy animate old-growth tree.,"Hide in plain sight, preserve the forest, root",17,22/40,7,4,+2,Branch,Very Close,3d8+2 phy,Forest Knowledge +3,Just a Tree,"Before they make their fi rst attack in a fi ght or after they become Hidden, the Treant is indistinguishable from other trees until they next act or a PC succeeds on an Instinct Roll to identify them.",Seed Barrage,"Mark a Stress and make an attack against up to three targets within Close range, pummeling them with giant acorns. Targets the Treant succeeds against take 2d10+5 physical damage.",Take Root,"Mark a Stress to Root the Treant in place. The Treant is Restrained while Rooted, and can end this eff ect instead of moving while they are spotlighted. While Rooted, the Treant has resistance to physical damage.",,,,,,,,
Treant Sapling,3,Minion,"A small, sentient tree sapling.","Blend in, preserve the forest, pummel,",14,None,1,1,+0,Branches,Melee,8 phy,,Minion (),"The Sapling is defeated when they take any damage. For every 6 damage a PC deals to the Sapling, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Treant Saplings within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 8 physical damage each. Combine this damage.",,,,,,,,,,
Unicorn,3,Standard,"A celestial avatar of goodness in the form of a preternaturally beautiful horse with a long, spiraled horn emerging from its head.","Keep evil at bay, protect the sacred, sense",17,19/36,7,5,+3,Hoof & Horn,Melee,3d10+3 mag,"Magic +3, Nature +3",Celestial Lance,The Unicorn’s standard attack deals double damage to a creature that has dealt damage to it.,Healing Touch,The Unicorn touches its horn to an ally within Melee range and channels healing energy into them. Mark any number of Stress to clear an equal number of the ally’s HP.,Protective Aura,"Mark a Stress to have the Unicorn conjure a sparkling magical aura. While the aura is in eff ect, attack rolls made against the Unicorn or an ally within Very Close range are made with disadvantage. This eff ect lasts until the Unicorn takes damage.",Teleport,Mark a Stress to have the Unicorn teleport up to Very Far range. The Unicorn can bring up to three allies within Very Close range with it.,,,,,,
Head Vampire,3,Leader,A captivating undead dressed in aristocratic fi nery.,"Create thralls, charm, command, fl y, intimidate",17,22/42,6,6,+5,Rapier,Melee,2d20+4 phy,Aristocrat +3,Terrifying,"When the Vampire makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.",Look into My Eyes,"A creature who moves into Melee range of the Vampire must make an Instinct Reaction Roll. On a failure, you gain 1d4 Fear.",Feed on Followers,"When the Vampire is within Melee range of an ally, they can cause the ally to mark a HP. The Vampire then clears a HP.",The Hunt Is On,"Spend 2 Fear to summon 1d4 Vampires, who appear at Far range and immediately take the spotlight.",Lifesuck,"When the Vampire is spotlighted, roll a d8. On a result of 6 or higher, all targets within Very Close range must mark a HP. Daggerheart SRD 141",,,,
Vampire,3,Standard,An intelligent undead with blood-stained lips and a predator’s smile.,"Bite, charm, deceive, feed, intimidate",16,18/35,5,4,+3,Rapier,Melee,3d8 phy,Nocturnal Hunter +3,Draining Bite,"Make an attack against a target within Melee range. On a success, deal 5d4 physical damage. A target who marks HP from this attack loses a Hope and must mark a Stress. The Vampire then clears a HP.",Mistform,"When the Vampire takes physical damage, you can spend a Fear to take half damage. VAMPIRE BAT SWARM Tier  Horde (/HP) A cloud of blood-sucking bats. Motives & Tactics: Blot out the moon, murmur, spread disease Diffi culty: 15 | Thresholds: 16/30 | HP: 8 | Stress: 3 ATK: +1 | Fangs: Melee | 3d6+6 phy Experience: Blood +3 FEATURES",Horde (2d),"When the Swarm has marked half or more of its HP, its standard attack deals 2d6 physical damage instead.",Blinding Multitude,The Swarm is so thick it blocks the vision of anyone it interacts with. Creatures within Melee range have disadvantage on attacks made against adversaries other than the Swarm.,Bloodsuckers,"When the Swarm deals damage to a target, you can mark a Stress to have the Swarm feed. The target marks an additional HP, and the Swarm clears a HP. 142 Daggerheart SRD",,,,
Vampire Lord,3,Solo,"A cruel vampire lord from a long-lost age, cursed with immortality.","Corrupt, destroy, overwhelm with evil power",18,24/45,7,7,+5,Claws,Melee,3d10+2 phy,"Evil +3, Noble +3",Relentless (3),The Vampire Lord can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Midnight Heart,"Long-Term Countdown (6). The Vampire Lord keeps their heart hidden in a safe place. If it’s destroyed, the Vampire Lord dies. Otherwise, when the Vampire Lord is defeated, activate the countdown. It ticks down each time the PCs fi nish a long rest. When it triggers, the Vampire Lord revives within Close range of the heart with all HP and Stress cleared.",Terrifying,"When the Vampire Lord makes a successful attack roll, all PCs within Close range lose a Hope, and you gain a Fear.",Unleash Hellfi re,"Mark a Stress to have the Vampire Lord momentarily conjure 1d4 bursts of hellfi re within Far range. Each burst deals 3d6 magic damage to each target within Very Close range. If a target takes damage from multiple bursts, combine the damage.",Resurgence,"When a PC within Very Close range rolls with Hope, you can spend a Fear to clear a HP or a Stress.",Melt into Shadow,"When a PC would deal damage to the Vampire Lord, you can spend a Fear to roll a d6. On a result of 5 or higher, negate the damage, then teleport the Vampire Lord to a point within Far range. Hellwing - Evolution: When the Vampire Lord marks half their HP, they transform into the Hellwing: a towering, demonic bat creature. They gain the “On Crimson Wings” and “Bloodbath” features and replace their standard attack with the following standard attack: Claws: Close | 3d12+6 phy",On Crimson Wings,"While fl ying, the Hellwing gains a +1 bonus to their Diffi culty."
Vault Guardian Sentinel,3,Bruiser,A dust-covered golden construct with boxy limbs and a huge mace for a hand.,"Destroy at any cost, expunge, protect",17,21/40,6,3,+3,Charged Mace,Very Close,2d12+1 phy,,Kinetic Slam,Targets who take damage from the Sentinel’s standard attack are knocked back to Very Close range.,Box In,Mark a Stress to choose a target within Very Close range to focus on. That target has disadvantage on attack rolls when they’re within Very Close range of the Sentinel. The Sentinel can only focus on one target at a time.,Mana Bolt,Spend a Fear to lob explosive magic at a point within Far range. All targets within Very Close range of that point must make an Agility Reaction Roll. Targets who fail take 2d8+20 magic damage and are knocked back to Close range. Targets who succeed take half damage and aren’t knocked back.,Momentum,"When the Sentinel makes a successful attack against a PC, you gain a Fear.",,,,,,
Vault Guardian Turret,3,Ranged,A massive living turret with reinforced armor and twelve piston- driven mechanical legs.,"Concentrate fi re, lock down, mark, protect",16,20/32,5,4,+3,Magitech Cannon,Far,3d10+3 mag,,Slow Firing,"When you spotlight the Turret and they don’t have a token on their stat block, they can’t make a standard attack. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Turret and they have a token on their stat block, clear the token and they can attack.",Mark Target,"Spend a Fear to Mark a target within Far range until the Turret is destroyed or the Marked target becomes Hidden. While the target is Marked, their Evasion is halved.",Concentrate Fire,"When another adversary deals damage to a target within Far range of the Turret, you can mark a Stress to add the Turret’s standard attack damage to the damage roll.",Detonation,"When the Turret is destroyed, they explode. All targets within Close range must make an Agility Reaction Roll. Targets who fail take 3d20 physical damage. Targets who succeed take half damage.",,,,,,
Viscera Sucker,3,Skulk,A vampiric demon whose upper body detaches at sundown to fl y through nearby villages in search of victims. It has a winged upper body with hanging entrails.,"Clamp onto prey, suck blood, tear in half",14,16/30,5,3,+2,Long Nails,Melee,2d6+7 phy,Flying +3,Join or Die,The Viscera Sucker dies if it hasn’t reconnected its upper and lower halves by dawn.,Entangling Entrails,"Spend a Fear to have the Viscera Sucker latch onto a target within Very Close range, Restraining them until they escape with a successful Strength Roll (16).",Lifesuck,"Mark a Stress to have the Viscera Sucker drink blood from a Restrained target within Melee range. The target marks a HP, and the Viscera Sucker clears a HP.",,,,,,,,
Whisper Wraith,3,Skulk,"The echoes of broken promises and dreams unfulfi lled, manifesting as a fl oating, translucent shroud of tattered black velvet in a vaguely humanoid shape.","Bind limbs, drop from a great height, lift off",16,20/32,6,6,+4,Shadow Touch,Melee,3d8+4 mag,Dreams +4,Greater Specter,The Wraith has resistance to physical damage and can move through solid objects.,Spooky,"When the Wraith makes a successful attack, all PCs within Close range must mark a Stress, and you gain a Fear.",Nightmare Shroud,"Spend a Fear to have the Wraith wrap itself around a PC within Melee range, Shrouding the target until they succeed on a Strength Roll to dislodge the Wraith or the Wraith takes Major or greater damage. While Shrouded, the target has disadvantage on attack rolls and marks a Stress when they roll with Fear. Additionally, damage that would be dealt to the Wraith is split evenly between the Wraith and the Shrouded target. Daggerheart SRD 143",,,,,,,,
Wyvern,3,Standard,A two-legged dragon that fl ies from its mountaintop aerie to devour livestock.,"Cast a long shadow, snatch and grab, wheel",16,18/35,7,5,+2,Teeth & Claws,Very Close,3d8+5 phy,Death from Above +4,Double Strike,"Mark a Stress to have the Wyvern make two standard attacks. If both attacks succeed against the same target, combine the damage.",Terrifying Shriek,"Spend a Fear to have the Wyvern let out a spine-chilling screech. All PCs within Far range are Terrifi ed until they succeed on a Presence Roll (18) to clear the condition or the Wyvern is defeated. While Terrifi ed, a PC doesn’t gain a Hope when they roll with Hope.",Clutch,"When the Wyvern makes a successful attack against a PC, you can spend a Fear to have the Wyvern Restrain the target in its claws until the PC succeeds on a Strength Roll (18) or the Wyvern takes Major or greater damage. While Restrained in this way, the PC has disadvantage on attack rolls.",,,,,,,,
Young Fire Dragon,3,Solo,A crimson dragon with four powerful limbs and smoldering wings.,"Burn, defend lair, erupt, fl y, shred, take",18,21/34,10,6,+7,Bite & Claws,Close,4d10 phy,Burning Rage +3,Relentless (3),The Dragon can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Intimidating,"When you spend a Fear to spotlight the Dragon, all PCs within Close range must mark a Stress or lose a Hope.",Flame Breath,Spend a Fear to have the Dragon unleash a blast of fl ame against all targets in front of it within Close range. Each target must make an Agility Reaction Roll. Targets who fail take 4d8+3 magic damage. Targets who succeed must mark a Stress or take half damage. A target who marks HP from this attack also becomes Vulnerable until they clear a HP.,Eruption,"Spend a Fear to have the Dragon crack the earth open with its tail, unleashing an explosion of lava. Choose a point within Far range. Each PC on the line between the Dragon and the chosen point must succeed on an Agility Reaction Roll or get burned, becoming Vulnerable until their next rest. You gain a Fear for each PC who fails.",Blazing Scales,"When a creature within Very Close range attacks the Dragon, the attacker must mark a Stress.",Slash and Burn,"When the Dragon makes a successful standard attack, you gain a Fear and can mark a Stress to have the attack deal an extra 10 magic damage. 144 Daggerheart SRD",,
Young Ice Dragon,3,Solo,A glacier-blue dragon with four powerful limbs and frost-tinged wings.,"Avalanche, defend lair, fl y, freeze, defend what",18,21/41,10,6,+7,Bite and Claws,Close,4d10 phy,Protect What Is Mine +3,Relentless (3),The Dragon can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Rend and Crush,"If a target damaged by the Dragon doesn’t mark an Armor Slot to reduce the damage, they must mark a Stress.",No Hope,"When a PC rolls with Fear while within Far range of the Dragon, they lose a Hope.",Blizzard Breath,Spend 2 Fear to release an icy whorl in front of the Dragon within Close range. All targets in this area must make an Agility Reaction Roll. Targets who fail take 4d6+5 magic damage and are Restrained by ice until they break free with a successful Strength Roll. Targets who succeed must mark 2 Stress or take half damage.,Avalanche,"Spend a Fear to have the Dragon unleash a huge downfall of snow and ice, covering all other creatures within Far range. All targets within this area must succeed on an Instinct Reaction Roll or be buried in snow and rocks, becoming Vulnerable until they dig themselves out from the debris. For each PC that fails the reaction roll, you gain a Fear.",Frozen Scales,"When a creature makes a successful attack against the Dragon from within Very Close range, they must mark a Stress and become Chilled until their next rest or they clear a Stress. While they are Chilled, they have disadvantage on attack rolls.",Momentum,"When the Dragon makes a successful attack against a PC, you gain a Fear."
Arch-Necromancer,4,Leader,"A decaying mage adorned in dark, tattered robes.","Corrupt, decay, fl ee to fi ght another day,",21,33/66,9,8,+6,Necrotic Blast,Far,4d12+8 mag,"Forbidden Knowledge +3, Wisdom of Centuries +3",Dance of Death,"Mark a Stress to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage, or full damage if you spend a Fear.",Beam of Decay,Mark 2 Stress to cause all targets within Far range to make a Strength Reaction Roll. Targets who fail take 2d20+12 magic damage and you gain a Fear. Targets who succeed take half damage. A target who marks 2 or more HP must also mark 2 Stress and becomes Vulnerable until they roll with Hope.,Open the Gates of Death,"Spend a Fear to summon a Zombie Legion, which appears at Close range and immediately takes the spotlight.","Not Today, My Dears","When the Necromancer has marked 7 or more of their HP, you can spend a Fear to have them teleport away to a safe location to recover. A PC who succeeds on an Instinct Roll can trace the teleportation magic to their destination.",Your Life Is Mine,"Countdown (Loop 2d6). When the Necromancer has marked 6 or more of their HP, activate the countdown. When it triggers, deal 2d10+6 direct magic damage to a target within Close range. The Necromancer then clears a number of Stress or HP equal to the number of HP marked by the target from this attack.",,,,
Cephilith Abomination,4,Bruiser,"A lumbering, bog-grown frog beast that has tadpolelike leeches visibly wriggling underneath their translucent skin.","Do the heavy lifting, leap menacingly, move",19,35/70,7,5,+4,Meaty Fists,Melee,4d10+10 phy,Brute +3,Toxic Skin,"A PC who comes into physical contact with the Abomination must roll a d6. On a result of 3 or lower, the PC must mark an Armor Slot or 2 HP.",Bear Hug,"Mark a Stress to make a standard attack against a target within Melee range. On a success, the target takes standard damage and is Grappled until they escape with a successful Strength Roll. While Grappled, the target is Vulnerable and Restrained.",Crunch!,Spend a Fear to deal 4d12 direct physical damage to a creature Grappled by the Abomination.,Tongue Attack,"Spend a Fear to have the Abomination pull a target within Far range into Melee range, then immediately spotlight the Abomination again.",Burrowing Leechpoles,"When the Abomination takes Major or greater damage, their skin erupts in an explosion of subcutaneous wrigglers. Each PC within Close range must make an Agility Reaction Roll. Targets who fail are covered in 2d4 leechpoles, which burrow under their skin. Until the leechpoles are dug out with a successful Finesse Roll (21), any damage the target takes gains a +1 bonus for each leechpole under their skin.",,,,
Cephilith Hatchling,4,Minion,"A squidlike parasite that latches onto their prey’s skull, bathing the victim’s brain in extradimensional neurotoxins.","Climb, feed, hatch, numb, scuttle",18,None,1,1,+3,Barbed Suckers,Melee,9 phy,Psychic +2,Minion (12),"The Hatchling is defeated when they take any damage. For every 12 damage a PC deals to the Hatchling, the PC defeats an additional Minion within range the attack would succeed against.",Comatize,"Spend a Fear to have the Hatchling latch onto the head of a PC within Melee range. The PC must mark a Stress as the Hatchling injects the PC’s brain with psycho-chemicals, and they must mark an additional Stress each time any PC fails a roll with Fear. The PC can remove the Hatchling by spending a number of Hope equal to the number of Stress they have marked. If a PC marks their last Stress while the Hatchling is latched on, the PC must make a death move. If the PC dies, you can spend a Fear to resurrect them as a Cephilith Novitiate.",Group Attack,"Spend a Fear to choose a target and spotlight all Cephilith Hatchlings within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 9 physical damage each. Combine this damage. Daggerheart SRD 145",,,,,,,,
Cephilith Novitiate,4,Minion,A luminary of the Mortal Realm who has given their mind to extradimensional entities in exchange for eldritch abilities.,"Help others see the Truth, make way for It,",16,None,1,1,+2,Eldritch Might,Melee,12 phy,Visions +2,Minion (12),"The Novitiate is defeated when they take any damage. For every 12 damage a PC deals to the Novitiate, the PC defeats an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Cephilith Novitiates within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 12 physical damage each. Combine this damage.",Sacrifi ce Self,Spend a Fear to have the Novitiate charge at a target within Far range and melt into them. Deal 12 direct magic damage to the target and defeat the Novitiate.,,,,,,,,
Cephilith Priest,4,Leader,"A perpetually moist, faceless humanoid from the Outer Realms who has elongated fi ngers and translucent skin, under which one can see wriggling worms.","Break the unbelievers’ minds, prepare this",20,37/70,7,5,+8,Psychic Strike,Far,4d10+10 mag,Outer Realms +4,Psychic Blast,Spend a Fear to choose up to three PCs within Close range and force them to make a Knowledge Reaction Roll. Targets who succeed take 2d10+5 direct magic damage. Targets who fail take 4d10+10 direct magic damage and are Vulnerable until spotlighted.,Cerebral Incursion,"Spend a Fear to choose a Vulnerable target within Melee range. The Priest grabs the target and inserts their elongated fi ngers into the target’s ears, nose, and mouth. The target must succeed on a Strength Reaction Roll or mark 1d6 Stress, and the Priest clears an equal number of Stress.",Telekinetic Grasp,"When the Priest makes a successful standard attack against a PC, you can mark a Stress to Restrain the target until they spend a Hope. 146 Daggerheart SRD",,,,,,,,
Cephilith Titan,4,Solo,"A transdimensional entity in the form of an impossibly large, winged humanoid with an octopus-shaped head and rows of glowing eyes.","Call and consume followers, corrupt reality,",20,38/68,10,10,+8,Pseudoclaw,Close,4d8+10 mag,"Chaos +5, Psychic +5",Relentless (X),"The Titan can be spotlighted up to X times per GM turn, where X equals the number of PCs in the scene. Spend Fear as usual to spotlight them.",Terrifying,"When the Titan makes a successful attack, all PCs within Close range lose a Hope, and you gain a Fear.",Merely a Projection,The Titan appears in the Mortal Realm as a psychic projection approximating their true form. They have immunity to physical damage and resistance to magic damage.,Psychic Scream,Spend a Fear to have the Titan unleash a mind-shattering onslaught of nightmarish visions from the Outer Realms. Each PC within Far range must make an Instinct Reaction Roll (22). Targets who fail take 4d12 direct magic damage. Targets who succeed must mark a Stress.,Summon Worshippers,"Spend a Fear to summon 1d4 Cephilith Abominations, which appear within Far range, then choose one to immediately spotlight. “It’s Here…” - Evolution: When the Titan has marked half their HP, they manifest in their full form, clearing all HP and losing the “Merely a Projection” feature. While the Titan is in this form, a creature who marks HP from the Titan’s standard attack must mark an additional HP.",,,,
Cipactli,4,Solo,"A gargantuan crocodile that has a body covered in a patchwork of fi sh scales, toad skin, and dozens of hungry mouths.","Consume, reshape the land, trample",20,35/60,8,5,+8,Bite,Close,4d8+12 phy,"Hungry +3, Primordial +3",Relentless (3),The Cipactli can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Many Mouths,Mark a Stress to make a standard attack against all targets within Very Close range. Targets the Cipactli succeeds against must also mark a Stress.,Frenzied Feeding,Spend a Fear to force all PCs within Close range to succeed on an Instinct Reaction Roll or take 4d6 direct physical damage. The Cipactli clears a HP for each creature who took Severe damage from this attack.,Quaking Footfalls,Mark a Stress to force each PC within Far range to make an Agility Reaction Roll. Targets who fail must mark 2 Stress and are Vulnerable until they take damage. Targets who succeed must mark a Stress.,Lifeblooded,"When the Cipactli takes Severe damage, its blood splashes to the ground and instantly erupts into a jungle. All creatures within Close range are temporarily Restrained.",Verdant Explosion,"When the Cipactli marks its last HP, its body erupts into dense vegetation that overtakes the landscape.",,
Demon Lord Berzug,4,Solo,"The ruler of a deep circle in the Circles Below and a huge hybrid beast with a serpent’s tail, a lizard’s hind legs, a crab’s claw arms, and a two-faced wolf’s head.","Destroy goodness, sow chaos, unseat rivals",20,35/70,12,8,+8,Abyssal Claws,Close,4d12+10 phy,Infernal Knowledge +3,Relentless (3),Berzug can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Chaos Lash,Mark a Stress to have Berzug lash at up to three PCs within Close range and force each target to make an Agility Reaction Roll. Targets who fail take 4d20 physical damage. Targets who succeed take half damage.,Gaze into the Abyss,"Spend a Fear to have Berzug lock eyes with a PC within Far range. The target must succeed on a Presence Reaction Roll or gain one of the following conditions (roll a d6 and use the corresponding result): 1–2: Mesmerized. The target immediately moves into Melee range of Berzug and is Vulnerable and Restrained until they clear the condition with a successful Instinct Roll. 3–4: Confused. The target must mark a Stress each time they make an action roll until they clear the condition with a successful Knowledge Roll. 5–6: Enthralled. Until the PC makes a successful Presence Roll to clear the condition, you can spotlight them during a GM turn as if they were an adversary. When you do so, choose a target within Close range of the Enthralled PC. The Enthralled PC moves into Melee range of the target and makes a weapon attack against them using a d20 instead of Duality Dice.",Crushing Strike,"When a PC marks HP from Berzug’s standard attack, you can mark a Stress to force them to mark a number of Stress equal to the number of HP they marked. You gain a Fear.",Horrifying,"When a PC fails an attack against Berzug, you gain a Fear. Daggerheart SRD 147",,,,
Dragon Mother Mitera,4,Solo,A gargantuan seven-headed dragon with dazzling diamond scales that shine with every color of the rainbow.,"Birth destruction, control the battlefi eld, fl y,",16,35/65,12,10,+8,Bite & Slash,Close,4d10+10 phy,Ancient +5,Relentless (3),Mitera can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight her.,Diamond Hide,"Countdown (7). When Mitera fi rst appears, activate the countdown. Mitera gains a bonus to her Diffi culty equal to the countdown die’s current value. It ticks down from Mitera’s “Seven-Headed” feature. When the countdown triggers, Mitera becomes Vulnerable and gains a +2 bonus to attack rolls.",Elemental Breath,"Mark a Stress to have Mitera unleash elemental energy from one head of your choice: 1. Fire. Deal 4d12 magic damage to 1d4+1 targets within Close range. Targets who take damage must mark an Armor Slot or 2 additional HP. 2. Lightning. Deal 4d12 magic damage to 1d6 targets within Far range, so long as each target beyond the fi rst is within Close range of the previous target. 3. Acid. Each PC in front of Mitera within Close range must make an Agility Reaction Roll. Targets who fail must mark 2 Armor Slots and 2 HP. Targets who succeed must mark an Armor Slot and a HP. 4. Poison. A miasma of toxic swamp gas Sickens all targets within Close range of Mitera. While Sickened, a target has disadvantage on action rolls until they mark 1d4 Stress to clear the condition. 5. Ice. Each target in front of Mitera within Close range takes 4d8+8 magic damage and is Restrained by ice until they break free with a successful Strength Roll. Additionally, this area freezes over and a PC must succeed on an Agility Reaction Roll to move through it. 6. Darkness. A cloud of magical shadow fi lls an area within Close range. Creatures inside the cloud except for Mitera are Vulnerable and have disadvantage on action rolls that rely on sight. The cloud dissipates when this Elemental Breath option is removed by Mitera’s “Seven-Headed” feature. 7. Light. A beam of pure light energy deals 28 direct magic damage to each creature in a line within Very Far range.",Tail Swipe,Spend a Fear to attack all targets within Close range. Targets this attack succeeds against take 2d20+10 physical damage and are knocked back to Far range. Targets who mark HP from this attack become Vulnerable until they clear a HP. Targets this attack failed against must mark a Stress.,Fearsome,"When Mitera makes a successful attack roll against a PC or a PC fails a roll within Far range, you gain a Fear.",Seven-Headed,"When Mitera takes damage, roll a d8. Permanently remove the “Elemental Breath” option that corresponds to the result. On a result of 8, or if the corresponding option has already been removed, tick down the Diamond Hide countdown (see “Diamond Hide”). 148 Daggerheart SRD",,
Fallen Shock Troop,4,Minion,A cursed soul bound to the Fallen’s will.,"Crush, dominate, earn relief, punish",18,None,1,1,+2,Cursed Axe,Very Close,12 phy,Ancient Knowledge +2,Minion (12),"The Shock Troop is defeated when they take any damage. For every 12 damage a PC deals to the Shock Troop, defeat an additional Minion within range the attack would succeed against.",Aura of Doom,"When a PC marks HP from an attack by the Shock Troop, they lose a Hope.",Group Attack,"Spend a Fear to choose a target and spotlight all Fallen Shock Troops within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 12 physical damage each. Combine this damage. FALLEN SORCERER Tier  Support A powerful mage bound by the bargains they made in life. Motives & Tactics: Acquire, dishearten, dominate, torment Diffi culty: 19 | Thresholds: 26/42 | HP: 6 | Stress: 5 ATK: +4 | Corrupted Staff : Far | 4d6+10 mag Experience: Ancient Knowledge +2 FEATURES",Confl agration,Spend a Fear to unleash an all-consuming fi restorm and make an attack against all targets within Close range. Targets the Sorcerer succeeds against take 2d10+6 direct magic damage.,Nightmare Tableau,"Mark a Stress to trap a target within Far range in a powerful illusion of their worst fears. While trapped, the target is Restrained and Vulnerable until they break free, ending both conditions, with a successful Instinct Roll.",Slippery,"When the Sorcerer takes damage from an attack, they can teleport up to Far range.",Shackles of Guilt,"Countdown (Loop 2d6). When the Sorcerer is in the spotlight for the fi rst time, activate the countdown. When it triggers, all targets within Far range become Vulnerable and must mark a Stress as they relive their greatest regrets. A target can break free from their regret with a successful Presence or Strength Roll. When a PC fails to break free, they lose a Hope."
Realm-Breaker,4,Solo,"A Fallen God, wreathed in rage and resentment, bearing millennia of experience in breaking heroes’ spirits.","Corrupt, dominate, punish, break the weak",20,36/66,8,5,+7,Barbed Whip,Close,4d8+7 phy,"Conquest +3, History +2, Intimidation +3",Relentless (2),The Realm-Breaker can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Firespite Plate Armor,"When the Realm-Breaker takes damage, reduce it by 2d10.",Tormenting Lash,"Mark a Stress to make a standard attack against all targets within Very Close range. When a target uses armor to reduce damage from this attack, they must mark 2 Armor Slots.",All-Consuming Rage,"Countdown (Decreasing 8). When the Realm-Breaker is in the spotlight for the fi rst time, activate the countdown. When it triggers, create a torrent of incarnate rage that rends fl esh from bone. All targets within Far range must make a Presence Reaction Roll. Targets who fail take 2d6+10 direct magic damage. Targets who succeed take half damage. For each HP marked from this damage, summon a Fallen Shock Troop within Very Close range of the target who marked that HP. If the countdown ever decreases its maximum value to 0, the Realm-Breaker marks their remaining HP and all targets within Far range must mark all remaining HP and make a death move.",Doombringer,"When a target marks HP from an attack by the Realm-Breaker, all PCs within Far range of the target must lose a Hope.",I Have Never Known Defeat (Phase Change),"When the Realm-Breaker marks their last HP, replace them with the Undefeated Champion and immediately spotlight them.",,
Undefeated Champion,4,Solo,That which only the most feared have a chance to fear.,"Dispatch merciless death, punish the defi ant,",18,35/58,11,5,+8,Heart-Shattering Sword,Very Close,4d12+13 phy,"Conquest +3, History +2, Intimidation +3",Relentless (3),The Undefeated Champion can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Faltering Armor,"When the Undefeated Champion takes damage, reduce it by 1d10.",Shattering Strike,Mark a Stress to make a standard attack against all targets within Very Close range. PCs the Champion succeeds against lose a number of Hope equal to the HP they marked from this attack.,Endless Legions,Spend a Fear to summon a number of Fallen Shock Troops equal to twice the number of PCs. The Shock Troops appear at Far range.,Circle of Defi lement,"Countdown (1d8). When the Undefeated Champion is in the spotlight for the fi rst time, activate the countdown. When it triggers, activate a magical circle covering an area within Far range of the Champion. A target within that area is Vulnerable until they leave the circle. The circle can be removed by dealing Severe damage to the Undefeated Champion.",Momentum,"When the Undefeated Champion makes a successful attack against a PC, you gain a Fear.",Doombringer,"When a target marks HP from an attack by the Undefeated Champion, all PCs within Far range of the target lose a Hope. Daggerheart SRD 149"
Fire Titan Warlord,4,Leader,"A smoldering, battle-obsessed goliath wearing bespoke armor and wielding a massive maul.","Compete against rivals, conquer the weak,",21,33/66,9,8,+6,Maul,Very Close,4d10+10 phy,Tactics +4,Relentless (2),The Warlord can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Colossus Crafter,"Countdown (). When the Warlord enters the scene, activate the countdown. It ticks down when the Warlord is spotlighted. When it triggers, summon the Gargantuan War Machine, which appears at the edge of the battlefi eld and immediately takes the spotlight.",Release the Hounds,"Spend a Fear to have the Warlord summon two Demonic Hound Packs, which appear at Close range and immediately take the spotlight.",Spinning Strike,Mark a Stress to make a standard attack against all targets within Very Close range and gain a Fear.,Ground-Breaking,"Spend a Fear to have the Warlord crack the earth with a downward swing of their maul and make an attack against a group within Close range. Targets the attack succeeds against take 4d10+10 direct damage. The area becomes rough terrain, and a PC must succeed on an Agility Reaction Roll (16) to move through it.",,,,
